Enumerator scores analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enumerator average score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criteria,Description of the criteria ,Mariana,Juan,Alejandro,Valentina,Francisco,Diana,Region Average,Discuss,Enumerator name(s),Follow-up questions / rationale,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL1,Children under the legal minimum working age are not employed,100%,95%,87%,79%,90%,90%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL2,Minors do not engage in dangerous work,100%,95%,100%,100%,100%,100%,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL3,"If children help their families, it does not interfere with their access to education",85%,95%,100%,84%,90%,95%,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,Workers can leave freely,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL2,Workers’ spouses and children are not required to work,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,"Identity papers, payments, or other properties are not withheld to force workers to remain at work",100%,100%,100%,90%,100%,100%,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW1,"Workers earn at least the local minimum wage or industry standard wage, whichever is higher",100%,100%,100%,84%,100%,100%,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW2,"In the case of piecemeal or collective work, workers earn at least the industry standard wage",100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CW1,Workers have access to clean drinking water on site,80%,50%,73%,68%,45%,60%,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CW2,Toilets and handwashing facilities are on site and located away from water bodies,70%,30%,33%,53%,20%,60%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS1,Workers have protective equipment and safe usage training,30%,5%,0%,5%,25%,15%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS4,Pregnant women are prohibited from dangerous work,100%,90%,93%,63%,40%,95%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF1,Primary and protected forests have not been cut down or degraded,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF2,Clearing of new land for coffee has been authorized with the appropriate local permit,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP1,Effluent waste is treated to prevent contamination of water bodies,15%,50%,47%,16%,40%,45%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP2,"Coffee processing byproducts (e.g., pulp, husks) are recycled",30%,40%,13%,11%,30%,5%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
